customer_id,age,gender,loyalty,join_date,avg_spending,unique_orders,total_orders,total_sales,retention
C003898,42,Female,1,2025-03-16,27.9443750008941,32,99,894.22,17
C033309,46,Male,1,2021-12-29,30.3374356856713,39,125,1183.16,17
C044674,56,Female,1,2023-01-18,27.8096428939274,28,88,778.67,17
C044952,47,Male,1,2022-05-18,19.6422500789166,40,102,785.69,17
C038641,49,Female,1,2023-11-18,22.0508106721414,37,102,815.88,18
C036020,18,Female,1,2022-02-15,23.002499972071,28,86,644.07,18
C002305,63,Female,0,2021-08-14,32.0519352189956,31,105,993.61,18
C001224,68,Female,0,2024-09-12,25.4188234385322,34,101,864.24,18
C001343,33,Female,1,2021-11-02,25.9677777422799,36,116,934.84,18
C005182,28,Male,0,2024-07-21,24.6789743472368,39,115,962.48,18
C007093,61,Female,0,2024-07-29,29.2639999798366,35,109,1024.24,18
C007731,20,Male,1,2024-03-08,20.605135350614,37,96,762.39,18
C011821,37,Male,1,2024-06-30,30.6438892682393,18,54,551.59,18
C014922,33,Female,0,2026-01-20,25.7244116348379,34,104,874.63,18
C017174,53,Female,1,2022-04-01,27.2713160012898,38,116,1036.31,18
C017393,23,Female,0,2021-03-20,24.7562160749693,37,114,915.98,19
C017967,18,Female,1,2025-11-08,23.7144443326526,36,96,853.72,19
C017140,45,Female,0,2022-01-08,25.3714285441807,35,100,888,19
C015804,63,Female,1,2022-10-04,28.5460003217061,30,90,856.38,19
C013775,47,Male,0,2021-05-01,24.9444118948544,34,106,848.11,19
C014502,51,Male,1,2022-04-13,26.7344117865843,34,105,908.97,19
C013543,33,Female,0,2024-04-14,25.724411908318,34,111,874.63,19
C013564,65,Male,0,2022-05-09,23.4087500572205,32,97,749.08,19
C011040,63,Male,0,2022-05-22,27.0725000351667,32,115,866.32,19
C007911,30,Female,1,2022-06-28,22.8102942214293,34,106,775.55,19
C006866,34,Male,0,2024-04-18,21.3734374120831,32,89,683.95,19
C005579,40,Female,1,2022-01-16,27.0725807528342,31,98,839.25,19
C004918,63,Male,1,2024-12-11,24.3247222238117,36,110,875.69,19
C006389,63,Male,1,2025-06-09,23.7524324816626,37,116,878.84,19
C001981,62,Male,1,2025-06-25,27.7783781708898,37,108,1027.8,19
C000493,39,Female,0,2021-07-03,29.4597061942605,34,110,1001.63,19
C000912,32,Female,1,2024-07-22,22.9942858389446,28,81,643.84,19
C003499,47,Male,0,2023-02-21,24.7958334551917,36,115,892.65,19
C034410,21,Female,1,2021-05-28,21.7617646736257,34,93,739.9,19
C034788,63,Female,1,2023-03-15,26.1781817638513,33,99,863.88,19
C033595,67,Female,1,2025-12-19,22.2582353073008,34,100,756.78,19
C034109,50,Male,1,2025-05-15,19.3597059390124,34,84,658.23,19
C032036,50,Male,1,2024-05-20,21.6840623915195,32,85,693.89,19
C027879,57,Female,1,2025-04-09,23.9785715426717,28,83,671.4,19
C028378,48,Male,0,2022-05-16,24.1686206192806,29,88,700.89,19
C028561,48,Female,1,2023-06-28,23.4470589020673,34,113,797.2,19
C029306,59,Male,0,2025-02-01,29.3410810393256,37,115,1085.62,19
C031818,68,Male,1,2025-07-25,25.0913515348692,37,103,928.38,19
C019547,56,Female,1,2021-06-17,25.2105713980539,35,99,882.37,19
C019890,43,Female,1,2021-11-08,28.6817648551043,34,111,975.18,19
C020020,62,Male,0,2021-10-17,23.3438888523314,36,93,840.38,19
C020998,31,Female,1,2023-04-06,23.493714264461,35,103,822.28,19
C022480,19,Female,0,2022-01-19,26.5618747621775,32,105,849.98,19
C022821,32,Male,0,2023-04-27,24.2821212392865,33,105,801.31,19
C023152,24,Male,0,2022-03-15,24.7652632813705,38,120,941.08,19
C023505,32,Female,0,2024-08-08,27.8117140701839,35,108,973.41,19
C023828,40,Male,0,2024-03-16,28.3440539450259,37,124,1048.73,19
C026507,40,Female,1,2021-07-03,29.8405404219756,37,119,1104.1,19
C038733,41,Male,1,2024-01-02,26.428421208733,38,111,1004.28,19
C038137,35,Female,1,2022-11-17,27.8785713740758,35,111,975.75,19
C036695,27,Male,1,2023-01-24,23.1671874672174,32,82,741.35,19
