date_order,city,store_type,store_name,total_cust,total_orders,quantity,total_sales,total_cost,profits
11-2024,New York,Retail,Chocolate Store 1,416,416,1260,10510.96,6297.77,4213.33
04-2023,New York,Retail,Chocolate Store 1,418,418,1263,10832.08,6490.57,4341.48
03-2024,New York,Retail,Chocolate Store 1,434,434,1303,10884.6,6514.4,4370.33
10-2023,New York,Retail,Chocolate Store 1,412,412,1249,10392.08,6218,4174.11
02-2024,New York,Retail,Chocolate Store 1,397,397,1185,10314.57,6174.25,4140.31
09-2024,New York,Retail,Chocolate Store 1,432,432,1245,10680.63,6534.06,4146.67
03-2023,New York,Retail,Chocolate Store 1,435,435,1286,11119.37,6661.24,4458.13
01-2024,New York,Retail,Chocolate Store 1,379,379,1157,9666.59,5753.39,3913.21
02-2023,New York,Retail,Chocolate Store 1,403,403,1247,10310.98,6247.32,4063.7
05-2024,New York,Retail,Chocolate Store 1,430,430,1314,11329.06,6804.33,4524.78
10-2024,New York,Retail,Chocolate Store 1,398,398,1191,10046.47,6009.3,4037.2
06-2023,New York,Retail,Chocolate Store 1,417,417,1207,10517.33,6328.37,4188.88
05-2023,New York,Retail,Chocolate Store 1,447,447,1339,11436.58,6768.78,4667.76
11-2023,New York,Retail,Chocolate Store 1,371,371,1150,10158.33,6087.3,4071.05
01-2023,New York,Retail,Chocolate Store 1,421,421,1248,10509.06,6282.69,4226.34
06-2024,New York,Retail,Chocolate Store 1,377,377,1104,9438.96,5680.09,3758.9
07-2023,New York,Retail,Chocolate Store 1,427,427,1311,11412.94,6877.06,4535.79
07-2024,New York,Retail,Chocolate Store 1,425,425,1277,10885.82,6590.77,4295
08-2024,New York,Retail,Chocolate Store 1,461,461,1352,11789.35,7088.36,4701.11
12-2024,New York,Retail,Chocolate Store 1,441,441,1310,11118.86,6651.69,4467.21
09-2023,New York,Retail,Chocolate Store 1,411,411,1282,10555.2,6344.32,4210.9
04-2024,New York,Retail,Chocolate Store 1,380,380,1098,9235.25,5538.17,3697.06
12-2023,New York,Retail,Chocolate Store 1,420,420,1197,10425.24,6244.11,4180.99
